date,close_price,signal,prev_signal,action
2023-03-10 06:00:00,1.05807,0,0,skip
2023-03-10 12:00:00,1.06868,0,0,skip
2023-03-10 18:00:00,1.06376,0,0,skip
2023-03-13 00:00:00,1.07165,0,0,skip
2023-03-13 06:00:00,1.06698,0,0,skip
2023-03-13 12:00:00,1.07327,0,0,skip
2023-03-13 18:00:00,1.07276,0,0,skip
2023-03-14 00:00:00,1.07022,-1,-1,ORDER_TYPE_SELL
2023-03-14 06:00:00,1.07108,0,-1,skip
2023-03-14 12:00:00,1.07205,0,0,skip
2023-03-14 18:00:00,1.07305,0,0,skip
2023-03-15 00:00:00,1.07505,0,0,skip
2023-03-15 06:00:00,1.06775,-1,-1,ORDER_TYPE_SELL
2023-03-15 12:00:00,1.05333,-1,-1,ORDER_TYPE_SELL
2023-03-15 18:00:00,1.05763,-1,-1,ORDER_TYPE_SELL
2023-03-16 00:00:00,1.05982,-1,-1,ORDER_TYPE_SELL
2023-03-16 06:00:00,1.06168,0,0,skip
2023-03-16 12:00:00,1.06208,0,0,skip
2023-03-16 18:00:00,1.06108,0,0,skip
2023-03-17 00:00:00,1.06397,0,0,skip
2023-03-17 06:00:00,1.06464,0,0,skip
2023-03-17 12:00:00,1.06459,0,0,skip
2023-03-17 18:00:00,1.06647,0,0,skip
2023-03-20 00:00:00,1.06686,0,0,skip
2023-03-20 06:00:00,1.06739,0,0,skip
2023-03-20 12:00:00,1.07207,0,0,skip
2023-03-20 18:00:00,1.07197,0,0,skip
2023-03-21 00:00:00,1.07154,0,0,skip
2023-03-21 06:00:00,1.07456,0,0,skip
2023-03-21 12:00:00,1.07682,0,0,skip
2023-03-21 18:00:00,1.0768,0,0,skip
2023-03-22 00:00:00,1.07695,0,0,skip
2023-03-22 06:00:00,1.07861,0,0,skip
2023-03-22 12:00:00,1.07907,0,0,skip
2023-03-22 18:00:00,1.08573,0,0,skip
2023-03-23 00:00:00,1.09004,0,0,skip
2023-03-23 06:00:00,1.08852,0,0,skip
2023-03-23 12:00:00,1.08894,0,0,skip
2023-03-23 18:00:00,1.08324,-1,-1,ORDER_TYPE_SELL
2023-03-24 00:00:00,1.08282,-1,-1,POSITION_MODIFY
2023-03-24 06:00:00,1.07252,-1,-1,ORDER_TYPE_SELL
2023-03-24 12:00:00,1.07605,-1,-1,ORDER_TYPE_SELL
2023-03-24 18:00:00,1.07595,-1,-1,POSITION_MODIFY
2023-03-27 00:00:00,1.07693,0,-1,skip
2023-03-27 06:00:00,1.07661,0,0,skip
2023-03-27 12:00:00,1.0781,0,0,skip
2023-03-27 18:00:00,1.07972,0,0,skip
2023-03-28 00:00:00,1.08134,0,0,skip
2023-03-28 06:00:00,1.08117,0,0,skip
2023-03-28 12:00:00,1.08315,0,0,skip
